Funeral Home,Manufacturer,Source,Construction,Model,Interior Color,Interior Fabric,Materials,Catalog Item #,Price,Date
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Auburn Sunset,Auburn Sunset,Velvet,18 Gauge Steel,NL1,"$4,415",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Burnished Silver,Burnished Silver,Velvet,18 Gauge Steel,OT9,"$4,575",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Cashmere,Cashmere,Velvet,18 Gauge Steel,O61,"$4,575",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Golden Rose,Golden Rose,Velvet,18 Gauge Steel,P90,"$4,795",10/15/2023
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,Granite,Granite,Crepe,18 Gauge Steel,NO1,"$3,995",10/15/2023
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,N01 Granite,Rosetan,Crepe,18 Gauge Steel,239721,"$2,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,N01 Merlot,Rosetan,Crepe,18 Gauge Steel,239723,"$2,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,N01 Midnght-Gold,Black w/ gold trim,Velvet,18 Gauge Steel,279142,"$3,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,N01 Pearl,Moss Pink,Crepe,18 Gauge Steel,239701,"$2,995",2/1/2022
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,N01 Sydney-Silver,Blue w/ silver trim,Velvet,18 Gauge Steel,279143,"$3,995",2/1/2022
Bradshaw Funeral Home,Batesville,www.bradshawfuneral.com,Metal,NL1,Tuscany,Crepe,18 Gauge Steel,n/a,"$3,830",10/25/2021
Ponders,Batesville,https://www.pondersfuneralhome.com/fh_live/15500/15565/media/2022-Batesville-Metal-Caskets.pdf,Metal,NL1 Claret,Ivory,Woven,18 Gauge Steel,251960,"$3,495",2/1/2022
